COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;07107;Vallon-Pont-d'Arc;CHAR;5
CODGEO;Code géographique;Code géographique;07108;Saint-Julien-en-Saint-Alban;CHAR;5
CODGEO;Code géographique;Code géographique;07109;Peaugres;CHAR;5
CODGEO;Code géographique;Code géographique;07110;Les Vans;CHAR;5
CODGEO;Code géographique;Code géographique;07111;Ruoms;CHAR;5
CODGEO;Code géographique;Code géographique;07112;Le Pouzin;CHAR;5
CODGEO;Code géographique;Code géographique;07113;Viviers;CHAR;5
CODGEO;Code géographique;Code géographique;07114;Le Cheylard;CHAR;5
CODGEO;Code géographique;Code géographique;07201;Bourg-Saint-Andéol;CHAR;5
CODGEO;Code géographique;Code géographique;07202;Charmes-sur-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;07203;La Voulte-sur-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;07301;Privas;CHAR;5
CODGEO;Code géographique;Code géographique;07401;Annonay;CHAR;5
CODGEO;Code géographique;Code géographique;07402;Aubenas;CHAR;5
CODGEO;Code géographique;Code géographique;08101;Donchery;CHAR;5
CODGEO;Code géographique;Code géographique;08102;Mouzon;CHAR;5
CODGEO;Code géographique;Code géographique;08103;Monthermé;CHAR;5
CODGEO;Code géographique;Code géographique;08104;Rocroi;CHAR;5
CODGEO;Code géographique;Code géographique;08105;Vireux-Wallerand;CHAR;5
CODGEO;Code géographique;Code géographique;08106;Vouziers;CHAR;5
CODGEO;Code géographique;Code géographique;08107;Nouvion-sur-Meuse;CHAR;5
CODGEO;Code géographique;Code géographique;08108;Carignan;CHAR;5
CODGEO;Code géographique;Code géographique;08201;Fumay;CHAR;5
CODGEO;Code géographique;Code géographique;08202;Bogny-sur-Meuse;CHAR;5
CODGEO;Code géographique;Code géographique;08203;Vrigne-aux-Bois;CHAR;5
CODGEO;Code géographique;Code géographique;08204;Nouzonville;CHAR;5
CODGEO;Code géographique;Code géographique;08205;Revin;CHAR;5
CODGEO;Code géographique;Code géographique;08206;Givet;CHAR;5
CODGEO;Code géographique;Code géographique;08301;Rethel;CHAR;5
CODGEO;Code géographique;Code géographique;08401;Sedan;CHAR;5
CODGEO;Code géographique;Code géographique;08501;Charleville-Mézières;CHAR;5
CODGEO;Code géographique;Code géographique;09101;La Tour-du-Crieu;CHAR;5
CODGEO;Code géographique;Code géographique;09102;Laroque-d'Olmes;CHAR;5
CODGEO;Code géographique;Code géographique;09103;Mirepoix;CHAR;5
CODGEO;Code géographique;Code géographique;09104;Mazères;CHAR;5
CODGEO;Code géographique;Code géographique;09105;Saverdun;CHAR;5
CODGEO;Code géographique;Code géographique;09201;Tarascon-sur-Ariège;CHAR;5
CODGEO;Code géographique;Code géographique;09202;Lavelanet;CHAR;5
CODGEO;Code géographique;Code géographique;09203;Saint-Girons;CHAR;5
CODGEO;Code géographique;Code géographique;09301;Foix;CHAR;5
CODGEO;Code géographique;Code géographique;09401;Pamiers;CHAR;5
CODGEO;Code géographique;Code géographique;10101;Vendeuvre-sur-Barse;CHAR;5
CODGEO;Code géographique;Code géographique;10102;Aix-Villemaur-Pâlis;CHAR;5
CODGEO;Code géographique;Code géographique;10103;Villenauxe-la-Grande;CHAR;5
CODGEO;Code géographique;Code géographique;10104;Saint-Lyé;CHAR;5
CODGEO;Code géographique;Code géographique;10105;Bar-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;10106;Arcis-sur-Aube;CHAR;5
CODGEO;Code géographique;Code géographique;10107;Brienne-le-Château;CHAR;5
CODGEO;Code géographique;Code géographique;10201;Bar-sur-Aube;CHAR;5
CODGEO;Code géographique;Code géographique;10202;Nogent-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;10301;Romilly-sur-Seine;CHAR;5
CODGEO;Code géographique;Code géographique;10601;Troyes;CHAR;5
CODGEO;Code géographique;Code géographique;11101;Palaja;CHAR;5
CODGEO;Code géographique;Code géographique;11102;Vinassan;CHAR;5
CODGEO;Code géographique;Code géographique;11103;Sallèles-d'Aude;CHAR;5
CODGEO;Code géographique;Code géographique;11104;Pennautier;CHAR;5
CODGEO;Code géographique;Code géographique;11105;Conques-sur-Orbiel;CHAR;5
CODGEO;Code géographique;Code géographique;11106;Rieux-Minervois;CHAR;5
CODGEO;Code géographique;Code géographique;11107;Bram;CHAR;5
CODGEO;Code géographique;Code géographique;11108;Saint-Nazaire-d'Aude;CHAR;5
CODGEO;Code géographique;Code géographique;11109;Quillan;CHAR;5
CODGEO;Code géographique;Code géographique;11110;Gruissan;CHAR;5
CODGEO;Code géographique;Code géographique;11111;Cuxac-d'Aude;CHAR;5
CODGEO;Code géographique;Code géographique;11112;Espéraza;CHAR;5
CODGEO;Code géographique;Code géographique;11113;Villemoustaussou;CHAR;5
CODGEO;Code géographique;Code géographique;11201;Sigean;CHAR;5
CODGEO;Code géographique;Code géographique;11202;Port-la-Nouvelle;CHAR;5
CODGEO;Code géographique;Code géographique;11203;Fleury;CHAR;5
CODGEO;Code géographique;Code géographique;11204;Trèbes;CHAR;5
CODGEO;Code géographique;Code géographique;11205;Coursan;CHAR;5
CODGEO;Code géographique;Code géographique;11206;Lézignan-Corbières;CHAR;5
CODGEO;Code géographique;Code géographique;11301;Limoux;CHAR;5
CODGEO;Code géographique;Code géographique;11302;Castelnaudary;CHAR;5
CODGEO;Code géographique;Code géographique;11501;Carcassonne;CHAR;5
CODGEO;Code géographique;Code géographique;11502;Narbonne;CHAR;5
CODGEO;Code géographique;Code géographique;12101;Baraqueville;CHAR;5
CODGEO;Code géographique;Code géographique;12102;Sévérac d'Aveyron;CHAR;5
CODGEO;Code géographique;Code géographique;12201;Espalion;CHAR;5
CODGEO;Code géographique;Code géographique;12202;Saint-Affrique;CHAR;5
CODGEO;Code géographique;Code géographique;12301;Villefranche-de-Rouergue;CHAR;5
CODGEO;Code géographique;Code géographique;12302;Decazeville;CHAR;5
CODGEO;Code géographique;Code géographique;12401;Millau;CHAR;5
CODGEO;Code géographique;Code géographique;12402;Rodez;CHAR;5
CODGEO;Code géographique;Code géographique;13101;Saintes-Maries-de-la-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;13102;Charleval;CHAR;5
CODGEO;Code géographique;Code géographique;13103;Mouriès;CHAR;5
CODGEO;Code géographique;Code géographique;13104;Coudoux;CHAR;5
CODGEO;Code géographique;Code géographique;13105;Maussane-les-Alpilles;CHAR;5
CODGEO;Code géographique;Code géographique;13106;Fontvieille;CHAR;5
CODGEO;Code géographique;Code géographique;13107;Meyrargues;CHAR;5
CODGEO;Code géographique;Code géographique;13108;Le Rove;CHAR;5
CODGEO;Code géographique;Code géographique;13109;Rognes;CHAR;5
CODGEO;Code géographique;Code géographique;13110;Cuges-les-Pins;CHAR;5
CODGEO;Code géographique;Code géographique;13111;Ventabren;CHAR;5
CODGEO;Code géographique;Code géographique;13201;La Roque-d'Anthéron;CHAR;5
CODGEO;Code géographique;Code géographique;13202;Roquefort-la-Bédoule;CHAR;5
CODGEO;Code géographique;Code géographique;13203;Le Puy-Sainte-Réparade;CHAR;5
CODGEO;Code géographique;Code géographique;13204;Ensuès-la-Redonne;CHAR;5
CODGEO;Code géographique;Code géographique;13205;Saint-Cannat;CHAR;5
CODGEO;Code géographique;Code géographique;13206;Sénas;CHAR;5
CODGEO;Code géographique;Code géographique;13207;Eyguières;CHAR;5
CODGEO;Code géographique;Code géographique;13208;La Fare-les-Oliviers;CHAR;5
CODGEO;Code géographique;Code géographique;13209;Carnoux-en-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13210;Lançon-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13211;Cassis;CHAR;5
CODGEO;Code géographique;Code géographique;13212;Peyrolles-en-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13213;Lambesc;CHAR;5
CODGEO;Code géographique;Code géographique;13214;Port-Saint-Louis-du-Rhône;CHAR;5
CODGEO;Code géographique;Code géographique;13215;Mallemort;CHAR;5
CODGEO;Code géographique;Code géographique;13301;Saint-Martin-de-Crau;CHAR;5
CODGEO;Code géographique;Code géographique;13302;Saint-Rémy-de-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;13303;Sausset-les-Pins - Carry-le-Rouet;CHAR;5
CODGEO;Code géographique;Code géographique;13501;Salon-de-Provence;CHAR;5
CODGEO;Code géographique;Code géographique;14101;Port-en-Bessin-Huppain;CHAR;5
CODGEO;Code géographique;Code géographique;14102;Soliers;CHAR;5
CODGEO;Code géographique;Code géographique;14103;Dozulé;CHAR;5
CODGEO;Code géographique;Code géographique;14106;Biéville-Beuville;CHAR;5
CODGEO;Code géographique;Code géographique;14107;Louvigny;CHAR;5
CODGEO;Code géographique;Code géographique;14108;Cairon;CHAR;5
CODGEO;Code géographique;Code géographique;14109;Isigny-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;14110;Évrecy;CHAR;5
CODGEO;Code géographique;Code géographique;14111;Ranville;CHAR;5
CODGEO;Code géographique;Code géographique;14112;Frénouville;CHAR;5
CODGEO;Code géographique;Code géographique;14113;Aunay-sur-Odon;CHAR;5
CODGEO;Code géographique;Code géographique;14114;Le Molay-Littry;CHAR;5
CODGEO;Code géographique;Code géographique;14115;Orbec;CHAR;5
CODGEO;Code géographique;Code géographique;14116;Villers-Bocage;CHAR;5
CODGEO;Code géographique;Code géographique;14117;Troarn;CHAR;5
CODGEO;Code géographique;Code géographique;14118;Courseulles-sur-Mer;CHAR;5
CODGEO;Code géographique;Code géographique;14120;Pont-l'Évêque;CHAR;5
