CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
01118;1889;4180;20580;49.9;12.2;;;;;;;;20.5;71.2;63.1;3;5.1;29.8;8.2;4.9;2.3;1.5;1.1;-14.1;12070;33130;2.7
01121;1878;4417;21800;54;8.7;;;;;;;;17.4;74.8;67.4;2.6;4.8;27.7;7.9;4.2;2.1;1.2;0.9;-14.6;13280;34200;2.6
01122;2035;4620;22980;54.5;7.6;;;;;;;;16.4;75.7;70.8;2.7;2.2;27.9;7.5;3.8;2.1;0.9;0.8;-14.9;13710;34680;2.5
01123;1638;3733;17500;42.1;26.4;;34.2;32.7;;;;;38.2;69.8;62.8;3.9;3.1;27.1;8.9;7.9;3.4;2.4;2.1;-13.7;9790;31000;3.2
01124;2153;4608;21600;50.6;9.1;;;;;;;;15.3;66;59.4;2.6;4;33.9;10.7;4.7;2;1.5;1.2;-15.3;13030;36350;2.8
01201;1838;5121;22160;55.4;6.9;;;;;;;;11.9;81.5;75.3;3.2;3;21.3;7;4.9;3.2;0.9;0.8;-14.7;13820;35310;2.6
01202;2447;6003;20500;52.3;13.3;;16.5;16.5;;;;6.2;23.2;75.7;69.3;3.2;3.2;25.6;7.9;5.4;2.7;1.4;1.3;-14.6;11650;33860;2.9
01203;3809;8876;41970;67.2;9.2;;;8;13.6;;;7.1;12.5;96.7;90;3.1;3.6;16.2;8.9;0.7;0.2;0.3;0.2;-22.5;13300;98410;7.4
01204;3639;8377;22260;54.7;8.2;;;;;;;5;17;74.6;67.3;3.1;4.2;28.1;8.2;4.5;2.2;1.3;1;-15.4;13260;36310;2.7
01205;4428;9848;19540;47;16.6;;21.3;20.3;17.1;11.5;;6.3;28.4;66.4;58.7;3.1;4.6;32.5;9.3;6.9;2.7;2.5;1.7;-15.1;10960;34190;3.1
01206;4317;10477;23450;57.3;8.5;;;8.9;;;;;17.5;80.1;73.6;2.7;3.8;23.5;8.2;4.5;2.3;1.2;1;-16.3;13260;39230;3
01207;1982;4002;21640;52.9;10;;;;;;;;18.3;63.3;55.7;2.8;4.8;36.9;9.7;4.8;1.8;1.8;1.2;-14.7;12650;34990;2.8
01301;6753;16043;33410;60.9;10;;8.2;9.9;13.5;;;6.4;14.3;98;92.4;3.3;2.3;12.9;6.3;1.5;0.7;0.4;0.4;-18.7;12650;70360;5.6
01302;8101;18346;20520;51.1;15.4;19.5;19.2;19.1;13.2;9.2;;5.4;26.1;73.1;66.4;3.5;3.2;27.6;8.3;6.3;2.7;2;1.6;-15.3;11120;34650;3.1
01401;13510;33207;18450;44.7;20.1;25.4;27.2;22.9;18.3;14.9;9.3;6.5;32.2;70.2;63.5;4.1;2.6;28;9.4;7.6;3.3;2.3;2;-15.2;10390;32720;3.1
01501;26843;57315;20240;50.7;16.3;22.5;22.7;19.8;16.3;10.1;7;5;28.7;65.9;59;2.9;4;33.8;9.7;6.6;2.4;2.4;1.8;-16;10830;36130;3.3
02101;843;1975;18220;;;;;;;;;;;;;;;;;;;;;;;;
02102;934;1983;19200;;;;;;;;;;;;;;;;;;;;;;;;
02103;905;2070;18450;38.6;17.1;;;;;;;;33.5;65.4;56;3;6.4;32.2;7.7;8.1;3.2;2.9;2;-13.4;10930;30350;2.8
02104;1130;2700;21160;50.6;9;;;;;;;;;69.4;62.5;2.3;4.6;31;9.8;4.5;2.4;1.2;0.9;-14.7;13000;34580;2.7
02105;779;1822;17090;;;;;;;;;;;;;;;;;;;;;;;;
02106;909;2262;23010;63;;;;;;;;;;73.1;66.7;2.2;4.2;30.9;8.3;3.3;2.1;0.7;0.5;-15.6;13920;36050;2.6
02107;885;2054;20920;50.8;10.2;;;;;;;;;73;64.4;3.1;5.5;29.3;7.4;5.1;2.4;1.5;1.2;-14.8;12650;33900;2.7
02108;974;2244;20180;50;10;;;;;;;;;69.6;61.9;3.2;4.5;32.3;7.7;5;2.2;1.6;1.2;-14.6;12660;34220;2.7
02109;867;1993;19730;;;;;;;;;;;;;;;;;;;;;;;;
02110;937;2179;16710;38.1;29;;;;;;;;48.1;54.9;47.8;3.8;3.3;33.8;14;11.4;3.4;5;3;-14.1;9450;31260;3.3
02111;855;1940;17420;;;;;;;;;;;;;;;;;;;;;;;;
02112;1052;2513;20050;47.9;13.1;;;;;;;;29.4;69.2;59.8;3.8;5.6;33.9;5.1;5.5;2.8;1.7;1;-13.7;11830;30400;2.6
02113;1138;2485;17650;37.7;22.1;;;;;;;;37.4;61.2;53.5;2.9;4.8;32.3;10;9.8;3;4.3;2.5;-13.3;10130;30040;3
02114;1154;2827;18940;41.8;13.8;;;;;;;;29.6;70.9;64.5;3.5;2.9;28.9;4.8;7.9;3.4;2.8;1.7;-12.5;11660;29170;2.5
02115;1211;2931;17330;35.8;21.6;;;;;;;11.3;38.7;62.6;55;3.4;4.2;34.4;7.1;8.9;3.4;3.2;2.3;-13;10100;28100;2.8
02116;1305;2948;17900;39.2;20.1;;;;;;;10.8;37.7;61;54.2;4.5;2.3;34.4;6.4;10.2;3.4;4.4;2.4;-12;10020;28750;2.9
02117;1279;2882;17370;37.2;24;;;;;;;;42.1;58.4;50;4.2;4.2;35.4;9.5;9.6;3.3;3.7;2.6;-12.9;9450;29560;3.1
02118;1425;3218;18250;41.7;20.6;;;30.6;;;;10.8;36.5;62.7;56.3;3.5;2.9;34.2;6.4;8.7;3.1;3.4;2.2;-12;9830;28740;2.9
02119;1367;3192;16590;33.8;24.6;;;31.6;;;;14.4;44.7;59.8;52.3;3.6;3.9;33.4;7;11.1;3.5;4.9;2.7;-11.3;9750;27430;2.8
02120;1504;3338;18180;40.1;22.4;;;26;;;;;38.1;66.7;58;3.4;5.3;28.9;7.5;10.5;3.2;4.3;3;-13.6;9820;31100;3.2
