code_bureau_vote;nom_bureau_vote;nb_inscrits;nb_abstentions;nb_votants;nb_votants_emargements;nb_blancs;nb_nuls;nb_exprimes;demain_angers;angers_pour_vous;Geo Shape;geo_point_2d
111;ECOLE CONDORCET;1284;519;765;765;12;5;748;258;490;"{""coordinates"": [[[-0.54487397546787, 47.45823693615215], [-0.548649333558325, 47.464535842198664], [-0.54892392739389, 47.46452892553042], [-0.548840436378991, 47.46474063227587], [-0.548813316155749, 47.46480939862139], [-0.549086349821441, 47.46491060631492], [-0.549394644547931, 47.464887235630464], [-0.550495026591568, 47.46519936082809], [-0.550639895684362, 47.464792830335504], [-0.552838881580912, 47.46462608530938], [-0.552458313079135, 47.462532066430725], [-0.55211147043493, 47.460594861996], [-0.551753165005832, 47.45858102851703], [-0.551630974624027, 47.458577508305616], [-0.550252607987665, 47.45999789423968], [-0.54487397546787, 47.45823693615215]]], ""type"": ""Polygon""}";47.461763297843, -0.549531709851926
112;ECOLE CONDORCET;1295;551;744;744;7;5;732;318;414;"{""coordinates"": [[[-0.551753165005832, 47.45858102851703], [-0.55211147043493, 47.460594861996], [-0.558478301476977, 47.460028066574814], [-0.558488743751999, 47.45965793466009], [-0.558512122798782, 47.459116338312], [-0.558609056926506, 47.458848905345214], [-0.553977919076653, 47.457068854079665], [-0.55399220644072, 47.45703344459541], [-0.553922540933648, 47.45697643201916], [-0.553474779642828, 47.456806441846815], [-0.552614993851482, 47.45647463093724], [-0.553014029743647, 47.45847784560113], [-0.551753165005832, 47.45858102851703]]], ""type"": ""Polygon""}";47.45896677911552, -0.5548491655897032
113;ECOLE CONDORCET;1118;415;703;703;12;7;684;253;431;"{""coordinates"": [[[-0.54487397546787, 47.45823693615215], [-0.550252607987665, 47.45999789423968], [-0.551630974624027, 47.458577508305616], [-0.551753165005832, 47.45858102851703], [-0.553014029743647, 47.45847784560113], [-0.552614993851482, 47.45647463093724], [-0.550596670736645, 47.45569664377642], [-0.550312259658809, 47.45560265456557], [-0.548386280832561, 47.4548685217955], [-0.548367447239586, 47.45488467799625], [-0.548181470335064, 47.45501996516571], [-0.548061041665143, 47.455122983104964], [-0.547164341378476, 47.45575985524998], [-0.546581827486268, 47.456183572509154], [-0.546573331242247, 47.45617960161107], [-0.546550263072311, 47.45619597763029], [-0.54561318781842, 47.45684308108138], [-0.544418192384463, 47.457612358744036], [-0.54487397546787, 47.45823693615215]]], ""type"": ""Polygon""}";47.457462219307956, -0.5490190269411847
114;ECOLE CONDORCET;532;236;296;296;2;3;291;134;157;"{""coordinates"": [[[-0.558601133117258, 47.45886958018091], [-0.558512122798782, 47.459116338312], [-0.558488110621104, 47.45967261572986], [-0.558478301476977, 47.460028066574814], [-0.558519317738266, 47.46052610162397], [-0.55892234407217, 47.46204002658295], [-0.558991147020837, 47.46216206616347], [-0.559566344357682, 47.4637649422548], [-0.560001864241237, 47.46363832968961], [-0.561845566071791, 47.463342667039655], [-0.563259707545351, 47.46288267088712], [-0.562792708829462, 47.46242724434553], [-0.561349833678723, 47.46066353966109], [-0.561712613064536, 47.46043075289956], [-0.561884232645406, 47.46016874706427], [-0.560589705857129, 47.45959027447744], [-0.5600747549692, 47.4593495370588], [-0.558630515992831, 47.45879294892549], [-0.558601133117258, 47.45886958018091]]], ""type"": ""Polygon""}";47.46147122745465, -0.5604006807049312
115;ENSEMBLE PAUL BERT;937;362;575;575;11;5;559;231;328;"{""coordinates"": [[[-0.543365796411352, 47.456170151703155], [-0.542497852347057, 47.45702022065923], [-0.541235062871433, 47.45618017594272], [-0.539504737008082, 47.45752740048547], [-0.539948807776189, 47.45803296011079], [-0.540168303348026, 47.45820279928816], [-0.540388346246934, 47.4583788341364], [-0.541275667014722, 47.459126240263224], [-0.541846300726556, 47.459532376776146], [-0.540253709937102, 47.46131947472161], [-0.541485087637017, 47.461829964661746], [-0.548813316155749, 47.46480939862139], [-0.54892392739389, 47.46452892553042], [-0.548649333558325, 47.464535842198664], [-0.54487397546787, 47.45823693615215], [-0.543365796411352, 47.456170151703155]]], ""type"": ""Polygon""}";47.46024616436839, -0.5437699920832861
116;ENSEMBLE PAUL BERT;1131;477;654;654;11;7;636;202;434;"{""coordinates"": [[[-0.536143901396936, 47.459503451805936], [-0.536626272846467, 47.4588357744905], [-0.536641480467073, 47.458627584039725], [-0.537727365138848, 47.45897644334574], [-0.539520225405315, 47.45754503282726], [-0.539504737008082, 47.45752740048547], [-0.541235062871433, 47.45618017594272], [-0.542497852347057, 47.45702022065923], [-0.543365796411352, 47.456170151703155], [-0.540785927859389, 47.4525630286864], [-0.538658983972652, 47.45301453596874], [-0.535145828684401, 47.454146049160165], [-0.53405099397452, 47.455169346255396], [-0.533112991281265, 47.457594930672], [-0.536143901396936, 47.459503451805936]]], ""type"": ""Polygon""}";47.45588329938699, -0.5379256670822145
117;ECOLE PRIMAIRE ALFRED CLEMENT;1189;456;733;733;15;7;711;261;450;"{""coordinates"": [[[-0.541485087637017, 47.461829964661746], [-0.540403602453005, 47.462557804701625], [-0.539389704482971, 47.461864154993535], [-0.537264046710827, 47.4633072043414], [-0.538394199678047, 47.4637450145392], [-0.537369700629616, 47.464823136282206], [-0.536660152436915, 47.46554389710825], [-0.536445326532017, 47.4657963441818], [-0.536299132496754, 47.46608535112588], [-0.539141250609391, 47.4658550041105], [-0.542503476304426, 47.465549381010405], [-0.541469745266471, 47.46492793883915], [-0.5400237468636, 47.46439386469175], [-0.540361821246755, 47.46413534437663], [-0.540410538379024, 47.46394800568569], [-0.540553941559746, 47.463617569154266], [-0.540740824018219, 47.4633896161378], [-0.541187473534525, 47.46315261417439], [-0.542253772964071, 47.46391847513898], [-0.545333419634788, 47.465346175829225], [-0.548649591486815, 47.46503971507439], [-0.548813316155749, 47.46480939862139], [-0.541485087637017, 47.461829964661746]]], ""type"": ""Polygon""}";47.464071367799036, -0.541701600091212
118;ECOLE PRIMAIRE ALFRED CLEMENT;995;481;514;514;13;4;497;191;306;"{""coordinates"": [[[-0.528936985739879, 47.460956695216616], [-0.528955849659705, 47.46106727714993], [-0.528974448271792, 47.461222524577124], [-0.528999285920377, 47.461471633068726], [-0.529022709868822, 47.46173060997812], [-0.529083976071901, 47.46199067831816], [-0.529094121895555, 47.462035571176735], [-0.529205354961304, 47.46254762268705], [-0.529245340262002, 47.46274432904239], [-0.529172919108888, 47.46296271941374], [-0.529113486117273, 47.46312737178921], [-0.529090366807801, 47.46336808767549], [-0.529045310864789, 47.46360865475857], [-0.528915469739768, 47.46395128391408], [-0.528899382815321, 47.46398788186923], [-0.528655045240033, 47.46466404453584], [-0.528595446384961, 47.4648539416377], [-0.528533750203261, 47.465014587443754], [-0.528355143069465, 47.46535639835309], [-0.528305214488104, 47.46544237402727], [-0.528651828301231, 47.46559438958253], [-0.528994987336753, 47.465694403391375], [-0.529389294822695, 47.465764497037725], [-0.529565191388813, 47.46580185000291], [-0.529829711209531, 47.465854853225856], [-0.530083270006577, 47.4658945300825], [-0.530772999709002, 47.466060756403145], [-0.526016576129696, 47.465900403329954], [-0.522570228004687, 47.46560790286442], [-0.519725049527522, 47.4652378178035], [-0.519678533519906, 47.465435432910674], [-0.519668825304005, 47.4654752564025], [-0.519567469288795, 47.46580303024789], [-0.519649343881347, 47.46579225051887], [-0.521596272494141, 47.46583786518322], [-0.522804978343134, 47.465905975662544], [-0.524477754974085, 47.466228046640985], [-0.526123334618431, 47.46665609160494], [-0.529801974173906, 47.4679085103731], [-0.529971180616262, 47.46780123123321], [-0.531026035404102, 47.46733813067787], [-0.533090831287885, 47.466747413808875], [-0.534346257534094, 47.46635386721192], [-0.536299132496754, 47.46608535112588], [-0.536445326532017, 47.4657963441818], [-0.536660152436915, 47.46554389710825], [-0.536492549749769, 47.46551393800811], [-0.534114070883012, 47.46461337619827], [-0.534801398959595, 47.464255895927046], [-0.536136375857372, 47.4629980659456], [-0.535371314834854, 47.46282078925741], [-0.534816753958894, 47.46263347687467], [-0.534780880775349, 47.46262314013412], [-0.53414803463701, 47.46232824146126], [-0.533797760448581, 47.46216788252878], [-0.53339203398842, 47.462000446328865], [-0.533222323126588, 47.461928872938564], [-0.532832205369852, 47.461817848444156], [-0.532513803654336, 47.46173121985039], [-0.532054815141706, 47.46158953539735], [-0.531678560452368, 47.461476025550375], [-0.531098115692833, 47.46130734659972], [-0.530817068326164, 47.461215049029356], [-0.530676096297151, 47.46118645992065], [-0.530450767641303, 47.461153871299736], [-0.528936985739879, 47.460956695216616]]], ""type"": ""Polygon""}";47.4646832516516, -0.5308982074788483
119;ECOLE PRIMAIRE ALFRED CLEMENT;1217;572;645;645;12;8;625;231;394;"{""coordinates"": [[[-0.534816753958894, 47.46263347687467], [-0.535371314834854, 47.46282078925741], [-0.536136375857372, 47.4629980659456], [-0.534801398959595, 47.464255895927046], [-0.534114070883012, 47.46461337619827], [-0.536492549749769, 47.46551393800811], [-0.536660152436915, 47.46554389710825], [-0.537369700629616, 47.464823136282206], [-0.538394199678047, 47.4637450145392], [-0.537264046710827, 47.4633072043414], [-0.539389704482971, 47.461864154993535], [-0.540403602453005, 47.462557804701625], [-0.541485087637017, 47.461829964661746], [-0.540253709937102, 47.46131947472161], [-0.541846300726556, 47.459532376776146], [-0.541275667014722, 47.459126240263224], [-0.540388346246934, 47.4583788341364], [-0.540168303348026, 47.45820279928816], [-0.539948807776189, 47.45803296011079], [-0.539520225405315, 47.45754503282726], [-0.537727365138848, 47.45897644334574], [-0.536641480467073, 47.458627584039725], [-0.536626272846467, 47.4588357744905], [-0.536143901396936, 47.459503451805936], [-0.537153245553942, 47.460144159420196], [-0.536263665215092, 47.46100563519642], [-0.53574888823135, 47.46124825157086], [-0.535506833879245, 47.461550348152464], [-0.534816753958894, 47.46263347687467]]], ""type"": ""Polygon""}";47.461393922105, -0.5380329445052816
120;SALLE VILLOUTREYS;1215;476;739;739;13;6;720;233;487;"{""coordinates"": [[[-0.521268064333658, 47.459470428695035], [-0.521001398979556, 47.45956139979572], [-0.519135346922785, 47.460436046682766], [-0.518462358434924, 47.460858859640304], [-0.51794091511347, 47.46129469794971], [-0.517481541111916, 47.46189197469194], [-0.517031539813522, 47.462628885552824], [-0.516973854494591, 47.4631290134523], [-0.517028008599439, 47.463148793109816], [-0.517203056355587, 47.46320369670387], [-0.517436120931343, 47.46327655106847], [-0.517627033316547, 47.46331638420693], [-0.518185577675926, 47.46342604976442], [-0.518300594704952, 47.463452617837156], [-0.518521148178781, 47.46349892944946], [-0.518904501027094, 47.46357755490827], [-0.518994660977176, 47.463597676795885], [-0.519078517205147, 47.46361483937462], [-0.519103309469968, 47.463620296382764], [-0.519564283751811, 47.46371213043465], [-0.519754117927362, 47.4651455410605], [-0.519740594985003, 47.46517188484203], [-0.519725049527522, 47.4652378178035], [-0.522570228004687, 47.46560790286442], [-0.526016576129696, 47.465900403329954], [-0.530772999709002, 47.466060756403145], [-0.530083270006577, 47.4658945300825], [-0.529829711209531, 47.465854853225856], [-0.529565191388813, 47.46580185000291], [-0.529413283662171, 47.46576876090886], [-0.528994987336753, 47.465694403391375], [-0.528651828301231, 47.46559438958253], [-0.528305214488104, 47.46544237402727], [-0.528355143069465, 47.46535639835309], [-0.528541693185872, 47.464999387165676], [-0.528590689718342, 47.464869095855185], [-0.528726431524866, 47.4644365904937], [-0.528880117205394, 47.46403171088884], [-0.528915469739768, 47.46395128391408], [-0.529045310864789, 47.46360865475857], [-0.529090366807801, 47.46336808767549], [-0.528635530566434, 47.4632752139994], [-0.52807915089721, 47.46318276953076], [-0.527582620063867, 47.46313762597813], [-0.527133410314306, 47.4631382597789], [-0.526724402601935, 47.4631647262031], [-0.525958693997864, 47.46304527135246], [-0.526905005661922, 47.460533963567215], [-0.526335411985282, 47.46037173423316], [-0.521623592170744, 47.45953224537723], [-0.521268064333658, 47.459470428695035]]], ""type"": ""Polygon""}";47.46291803085431, -0.523131115090268
121;SALLE VILLOUTREYS;977;446;531;531;5;7;519;174;345;"{""coordinates"": [[[-0.535145828684401, 47.454146049160165], [-0.534209464534338, 47.454408380595616], [-0.533140959088625, 47.45470797418441], [-0.53167441623321, 47.455055033066344], [-0.530361679168094, 47.4555053273875], [-0.530050709459103, 47.45568618566704], [-0.528069388629283, 47.45687983390192], [-0.527359953469857, 47.45722395074291], [-0.526719972142828, 47.45745257993853], [-0.52245868034688, 47.45906394808591], [-0.521790477217866, 47.459292059095496], [-0.521268064333658, 47.459470428695035], [-0.521623592170744, 47.45953224537723], [-0.526335411985282, 47.46037173423316], [-0.526905005661922, 47.460533963567215], [-0.525958693997864, 47.46304527135246], [-0.526724402601935, 47.4631647262031], [-0.527133410314306, 47.4631382597789], [-0.527608415963172, 47.46313997203297], [-0.52807915089721, 47.46318276953076], [-0.528635530566434, 47.4632752139994], [-0.529090366807801, 47.46336808767549], [-0.529113486117273, 47.46312737178921], [-0.529172919108888, 47.46296271941374], [-0.529245340262002, 47.46274432904239], [-0.529205354961304, 47.46254762268705], [-0.529089031307186, 47.46201213979485], [-0.529022709868822, 47.46173060997812], [-0.52901984026899, 47.46165629904635], [-0.528999285920377, 47.461471633068726], [-0.528974448271792, 47.461222524577124], [-0.528955849659705, 47.46106727714993], [-0.528936985739879, 47.460956695216616], [-0.530450767641303, 47.461153871299736], [-0.530676096297151, 47.46118645992065], [-0.530817068326164, 47.461215049029356], [-0.531098115692833, 47.46130734659972], [-0.531678560452368, 47.461476025550375], [-0.532054815141706, 47.46158953539735], [-0.532513803654336, 47.46173121985039], [-0.532876131376639, 47.46182979955828], [-0.533222323126588, 47.461928872938564], [-0.53339203398842, 47.462000446328865], [-0.533797760448581, 47.46216788252878], [-0.53414803463701, 47.46232824146126], [-0.534780880775349, 47.46262314013412], [-0.534816753958894, 47.46263347687467], [-0.535292856898555, 47.46188620494719], [-0.535506833879245, 47.461550348152464], [-0.53574888823135, 47.46124825157086], [-0.536263665215092, 47.46100563519642], [-0.537153245553942, 47.460144159420196], [-0.536143901396936, 47.459503451805936], [-0.533112991281265, 47.457594930672], [-0.53405099397452, 47.455169346255396], [-0.535145828684401, 47.454146049160165]]], ""type"": ""Polygon""}";47.4591664472612, -0.5302461379322093
122;ECOLE MATERNELLE LAREVELLIERE;1120;499;621;621;8;8;605;194;411;"{""coordinates"": [[[-0.536685964382549, 47.46717426668813], [-0.5356364889991, 47.46749398400708], [-0.538681397249925, 47.46853793140278], [-0.537342583871934, 47.47016122308141], [-0.5373351244017, 47.47039402669056], [-0.538186169215105, 47.47114671179401], [-0.538453124498654, 47.47149788326207], [-0.53918001353052, 47.47178813576258], [-0.540349084558585, 47.47201098282213], [-0.541194552622561, 47.47221231758961], [-0.542716173476525, 47.472596665434445], [-0.543475742327792, 47.47152780176331], [-0.543492013026202, 47.47150497225558], [-0.544078200290162, 47.47135218920105], [-0.54463105980786, 47.470600933001684], [-0.543915819765924, 47.47035213574283], [-0.544172390979414, 47.47004208241026], [-0.544086424755289, 47.46969031434315], [-0.536685964382549, 47.46717426668813]]], ""type"": ""Polygon""}";47.47015080525909, -0.5405804377104334
123;ECOLE MATERNELLE LAREVELLIERE;1193;618;575;575;19;13;543;186;357;"{""coordinates"": [[[-0.536685964382549, 47.46717426668813], [-0.536430457212933, 47.46647741047831], [-0.535995364047934, 47.46634755462931], [-0.536040187319192, 47.466274590386014], [-0.536299132496754, 47.46608535112588], [-0.534346257534094, 47.46635386721192], [-0.533090831287885, 47.466747413808875], [-0.531026035404102, 47.46733813067787], [-0.529971180616262, 47.46780123123321], [-0.529801974173906, 47.4679085103731], [-0.531443036337995, 47.468603121996274], [-0.532002539311011, 47.46889486363797], [-0.538453124498654, 47.47149788326207], [-0.538186169215105, 47.47114671179401], [-0.5373351244017, 47.47039402669056], [-0.537342583871934, 47.47016122308141], [-0.538681397249925, 47.46853793140278], [-0.5356364889991, 47.46749398400708], [-0.536685964382549, 47.46717426668813]]], ""type"": ""Polygon""}";47.46840886381655, -0.5347651630274123
